GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libro-service,com.biblioteca.libro.service,LibroService,0,198,0,12,0,45,0,24,0,18
libro-service,com.biblioteca,LibroServiceApplication,0,8,0,0,0,3,0,2,0,2
libro-service,com.biblioteca.libro.config,CacheConfig,0,38,0,0,0,9,0,3,0,3
libro-service,com.biblioteca.libro.config,SecurityConfig,0,98,0,0,0,16,0,6,0,6
libro-service,com.biblioteca.libro.messaging,PrestamoEventListener,5,68,1,4,1,21,1,5,0,3
libro-service,com.biblioteca.libro.dto,LibroDto,0,15,0,0,0,1,0,1,0,1
libro-service,com.biblioteca.libro.controller,LibroController,0,159,0,6,0,35,0,14,0,11
